Month,Channel,Visitors,Add_to_Cart,Checkout,Customers,Visitor_to_Cart_%,Cart_to_Checkout_%,Checkout_to_Customer_%,Overall_Conversion_%
Jan,Facebook Ads,15000,4200,2500,1400,28.0,59.52,56.0,9.33
Jan,Google Ads,18000,5000,3000,1700,27.78,60.0,56.67,9.44
Jan,Instagram Ads,12000,3000,1800,900,25.0,60.0,50.0,7.5
Jan,Email Marketing,10000,4000,2500,2000,40.0,62.5,80.0,20.0
Jan,Organic Search,22000,7000,4500,3500,31.82,64.29,77.78,15.91
Feb,Facebook Ads,16000,4300,2600,1500,26.88,60.47,57.69,9.38
Feb,Google Ads,19000,5200,3200,1800,27.37,61.54,56.25,9.47
Feb,Instagram Ads,12500,3100,1900,950,24.8,61.29,50.0,7.6
Feb,Email Marketing,10500,4200,2700,2100,40.0,64.29,77.78,20.0
Feb,Organic Search,23000,7200,4700,3600,31.3,65.28,76.6,15.65
Mar,Facebook Ads,17000,4500,2700,1600,26.47,60.0,59.26,9.41
Mar,Google Ads,20000,5500,3300,1900,27.5,60.0,57.58,9.5
Mar,Instagram Ads,13000,3300,2000,1000,25.38,60.61,50.0,7.69
Mar,Email Marketing,11000,4300,2800,2200,39.09,65.12,78.57,20.0
Mar,Organic Search,24000,7500,4800,3800,31.25,64.0,79.17,15.83
Apr,Facebook Ads,18000,4700,2900,1700,26.11,61.7,58.62,9.44
Apr,Google Ads,21000,5800,3500,2000,27.62,60.34,57.14,9.52
Apr,Instagram Ads,13500,3400,2100,1100,25.19,61.76,52.38,8.15
Apr,Email Marketing,11500,4500,3000,2300,39.13,66.67,76.67,20.0
Apr,Organic Search,25000,7800,5000,4000,31.2,64.1,80.0,16.0
May,Facebook Ads,19000,4900,3000,1800,25.79,61.22,60.0,9.47
May,Google Ads,22000,6000,3700,2200,27.27,61.67,59.46,10.0
May,Instagram Ads,14000,3500,2200,1200,25.0,62.86,54.55,8.57
May,Email Marketing,12000,4700,3100,2400,39.17,65.96,77.42,20.0
May,Organic Search,26000,8000,5200,4200,30.77,65.0,80.77,16.15
