Month,Channel,Visitors,Add_to_Cart,Checkout,Customers
Jan,Facebook Ads,15000,4200,2500,1400
Jan,Google Ads,18000,5000,3000,1700
Jan,Instagram Ads,12000,3000,1800,900
Jan,Email Marketing,10000,4000,2500,2000
Jan,Organic Search,22000,7000,4500,3500
Feb,Facebook Ads,16000,4300,2600,1500
Feb,Google Ads,19000,5200,3200,1800
Feb,Instagram Ads,12500,3100,1900,950
Feb,Email Marketing,10500,4200,2700,2100
Feb,Organic Search,23000,7200,4700,3600
Mar,Facebook Ads,17000,4500,2700,1600
Mar,Google Ads,20000,5500,3300,1900
Mar,Instagram Ads,13000,3300,2000,1000
Mar,Email Marketing,11000,4300,2800,2200
Mar,Organic Search,24000,7500,4800,3800
Apr,Facebook Ads,18000,4700,2900,1700
Apr,Google Ads,21000,5800,3500,2000
Apr,Instagram Ads,13500,3400,2100,1100
Apr,Email Marketing,11500,4500,3000,2300
Apr,Organic Search,25000,7800,5000,4000
May,Facebook Ads,19000,4900,3000,1800
May,Google Ads,22000,6000,3700,2200
May,Instagram Ads,14000,3500,2200,1200
May,Email Marketing,12000,4700,3100,2400
May,Organic Search,26000,8000,5200,4200
